,0
0,2103.0
1,1600.0
2,2274.0
3,2190.0
4,2111.0
5,1301.0
6,1983.0
7,1786.0
8,1719.0
9,1924.0
10,1482.0
11,2105.0
12,2153.0
13,2281.0
14,2006.0
15,2032.0
16,1837.0
17,1816.0
18,1910.0
19,1860.0
20,1909.0
21,1586.0
22,2097.0
23,2051.0
24,2031.0
25,1827.0
26,2144.0
27,1651.0
28,2410.0
29,2111.0
30,1887.0
31,1755.0
32,1979.0
33,1923.0
34,1911.0
35,1929.0
36,2292.0
37,1943.0
38,1989.0
39,2124.0
40,2921.0
41,2429.0
42,1787.0
43,1408.0
44,1887.0
45,1833.0
46,2078.0
47,1871.0
48,1800.0
49,1923.0
50,1705.0
51,1709.0
52,1899.0
53,2155.0
54,1804.0
55,1973.0
56,1882.0
57,5647.0
58,1971.0
59,2619.0
60,2031.0
61,1717.0
62,1996.0
63,3662.0
64,2544.0
65,1936.0
66,1932.0
67,1995.0
68,2056.0
69,2096.0
70,1915.0
71,2002.0
72,1826.0
73,2064.0
74,2268.0
75,2805.0
76,1997.0
77,1566.0
78,2167.0
79,3033.0
80,1959.0
81,2223.0
82,1962.0
83,2037.0
84,1905.0
85,1979.0
86,2149.0
87,1944.0
88,2197.0
89,1742.0
90,1805.0
91,2362.0
92,1901.0
93,5073.0
94,2110.0
95,1012.0
96,970.0
97,3827.0
98,1983.0
99,2043.0
100,1819.0
101,2236.0
102,1871.0
103,1231.0
104,2040.0
105,1945.0
106,1899.0
107,1758.0
108,2157.0
109,2200.0
110,1877.0
111,1931.0
112,2300.0
113,1534.0
114,1495.0
115,2143.0
116,2225.0
117,1993.0
118,2127.0
119,1340.0
120,1924.0
121,1801.0
122,1886.0
123,1890.0
124,1809.0
125,1918.0
126,1926.0
127,1999.0
128,1981.0
129,1841.0
130,2032.0
131,1843.0
132,1889.0
133,2238.0
134,2942.0
135,1891.0
136,2153.0
137,1857.0
138,1779.0
139,2021.0
140,2162.0
141,2986.0
142,2023.0
143,2052.0
144,1901.0
145,1746.0
146,1866.0
147,2164.0
148,1746.0
149,2410.0
150,3936.0
151,2030.0
152,1969.0
153,2407.0
154,1997.0
155,2057.0
156,1721.0
157,1732.0
158,2016.0
159,1927.0
160,2419.0
161,2114.0
162,1817.0
163,1869.0
164,1895.0
165,3974.0
166,1945.0
167,1940.0
168,1897.0
169,3271.0
170,2244.0
171,1744.0
172,2228.0
173,2055.0
174,2152.0
175,1648.0
176,1808.0
177,2330.0
178,1744.0
179,1809.0
180,1540.0
181,2372.0
182,1707.0
183,2541.0
184,1967.0
185,1919.0
186,1889.0
187,1713.0
188,2055.0
189,3392.0
190,1474.0
191,2303.0
192,2359.0
193,1964.0
194,1341.0
195,2041.0
196,2397.0
197,2685.0
198,1957.0
199,1896.0
200,2359.0
201,1822.0
202,1907.0
203,1589.0
204,2050.0
205,2248.0
206,1939.0
207,1933.0
208,2318.0
209,1957.0
210,1924.0
211,2043.0
212,2111.0
213,1664.0
214,1796.0
215,1658.0
216,2182.0
217,2153.0
218,2167.0
219,1707.0
220,2079.0
221,1855.0
222,1724.0
223,1941.0
224,1967.0
225,1543.0
226,2075.0
227,1796.0
228,1917.0
229,2022.0
230,2191.0
231,1723.0
232,2606.0
233,1922.0
234,2049.0
235,2207.0
236,1870.0
237,1854.0
238,2089.0
239,1755.0
240,2081.0
241,2399.0
242,1940.0
243,1639.0
244,1897.0
245,2814.0
246,1951.0
247,2017.0
248,1900.0
249,1641.0
250,1976.0
251,1932.0
252,1869.0
253,2014.0
254,2096.0
255,2099.0
256,1992.0
257,2215.0
258,1675.0
259,2145.0
260,1870.0
261,1965.0
262,1755.0
263,1944.0
264,2117.0
265,3164.0
266,1812.0
267,2354.0
268,2070.0
269,1576.0
270,2052.0
271,992.0
272,2050.0
273,2502.0
274,2066.0
275,1927.0
276,2387.0
277,1796.0
278,1922.0
279,1994.0
280,1930.0
281,1977.0
282,2423.0
283,2191.0
284,3142.0
285,6807.0
286,2268.0
287,2110.0
288,2191.0
289,6909.0
290,6354.0
291,1837.0
292,1947.0
293,1779.0
294,2361.0
295,1798.0
296,1992.0
297,2116.0
298,1947.0
299,2368.0
300,2052.0
301,1913.0
302,2614.0
303,1846.0
304,2357.0
305,2488.0
306,2470.0
307,2466.0
308,2030.0
309,2060.0
310,2188.0
311,1867.0
312,2452.0
313,1930.0
314,1935.0
315,2328.0
316,2634.0
317,1775.0
318,1922.0
319,3330.0
320,2117.0
321,1409.0
322,2309.0
323,6763.0
324,2560.0
325,3133.0
326,2178.0
327,2304.0
328,1992.0
329,2032.0
330,1959.0
331,1876.0
332,1914.0
333,2106.0
334,1699.0
335,3310.0
336,1268.0
337,1930.0
338,2597.0
339,2920.0
340,1101.0
341,2267.0
342,1783.0
343,1991.0
344,1762.0
345,2119.0
346,2114.0
347,2254.0
348,2268.0
349,1900.0
350,2096.0
351,1726.0
352,3332.0
353,2639.0
354,2199.0
355,2474.0
356,2302.0
357,1874.0
358,1810.0
359,2394.0
360,2607.0
361,2112.0
362,1923.0
363,2054.0
364,1900.0
365,2166.0
366,4121.0
367,2178.0
368,2062.0
369,2307.0
370,2336.0
371,2522.0
372,1588.0
373,2193.0
374,1036.0
375,2081.0
376,2153.0
377,1980.0
378,2642.0
379,2215.0
380,2425.0
381,1927.0
382,2179.0
383,1924.0
384,2090.0
385,2360.0
386,1945.0
387,2615.0
388,2389.0
389,1894.0
390,1773.0
391,2262.0
392,2363.0
393,2268.0
394,2366.0
395,1977.0
396,1901.0
397,2108.0
398,2000.0
399,2037.0
400,2100.0
401,2231.0
402,2428.0
403,1965.0
404,1948.0
405,1999.0
406,1784.0
407,993.0
408,1875.0
409,2616.0
410,1946.0
411,1951.0
412,1900.0
413,1767.0
414,1849.0
415,1679.0
416,1802.0
417,1585.0
418,1777.0
419,1814.0
420,1744.0
