,0
532,110.0
533,100.0
534,35.0
535,126.0
536,200.0
537,123.0
538,171.0
539,47.0
540,125.0
541,80.0
542,46.0
543,37.0
544,38.0
545,37.0
546,38.0
547,38.0
548,38.0
549,38.0
550,47.0
551,49.0
552,54.0
553,58.0
554,38.0
555,66.0
556,120.0
557,112.0
558,38.0
559,155.0
560,40.0
561,117.0
562,131.0
563,38.0
564,38.0
565,38.0
566,81.0
567,37.0
568,39.0
569,39.0
570,41.0
571,68.0
572,67.0
573,46.0
574,117.0
575,38.0
576,194.0
577,54.0
578,84.0
579,61.0
580,89.0
581,134.0
582,186.0
583,51.0
584,44.0
585,65.0
586,112.0
587,46.0
588,42.0
589,36.0
590,39.0
591,39.0
592,39.0
593,73.0
594,43.0
595,77.0
596,108.0
597,138.0
598,111.0
599,101.0
600,36.0
601,49.0
602,54.0
603,107.0
604,59.0
605,42.0
606,49.0
607,188.0
608,53.0
609,38.0
610,78.0
611,70.0
612,35.0
613,49.0
614,37.0
615,98.0
616,137.0
617,68.0
618,44.0
619,87.0
620,38.0
621,59.0
622,36.0
623,36.0
624,59.0
625,38.0
626,96.0
627,32.0
628,38.0
629,40.0
630,120.0
631,44.0
632,70.0
633,69.0
634,41.0
635,64.0
636,87.0
637,190.0
638,51.0
639,76.0
640,48.0
641,158.0
642,38.0
643,44.0
644,124.0
645,34.0
646,49.0
647,39.0
648,40.0
649,101.0
650,37.0
651,36.0
652,50.0
653,32.0
654,39.0
655,45.0
656,43.0
657,30.0
658,39.0
659,65.0
660,172.0
661,194.0
662,126.0
663,156.0
664,68.0
665,59.0
666,40.0
667,40.0
668,34.0
669,61.0
670,34.0
671,42.0
672,37.0
673,46.0
674,39.0
675,35.0
676,35.0
677,143.0
678,48.0
679,166.0
680,53.0
681,133.0
682,91.0
683,156.0
684,61.0
685,58.0
686,38.0
687,55.0
688,118.0
689,38.0
690,34.0
691,60.0
692,43.0
693,39.0
694,38.0
695,160.0
696,37.0
697,71.0
698,127.0
699,55.0
700,84.0
701,202.0
702,104.0
703,145.0
704,81.0
705,65.0
706,38.0
707,92.0
708,130.0
709,152.0
710,46.0
711,45.0
712,137.0
713,49.0
714,80.0
715,63.0
716,59.0
717,154.0
718,50.0
719,163.0
720,164.0
721,130.0
722,149.0
723,181.0
724,80.0
725,53.0
726,43.0
727,118.0
728,176.0
729,37.0
730,40.0
731,39.0
732,37.0
733,175.0
734,39.0
735,36.0
736,45.0
737,71.0
738,82.0
739,152.0
740,95.0
741,51.0
742,56.0
743,39.0
744,39.0
745,51.0
746,55.0
747,49.0
748,190.0
749,50.0
750,55.0
751,46.0
752,98.0
753,42.0
754,43.0
755,51.0
756,121.0
757,40.0
758,71.0
759,169.0
760,200.0
761,128.0
762,105.0
763,168.0
764,85.0
765,200.0
766,52.0
767,64.0
768,67.0
769,36.0
770,47.0
771,48.0
772,44.0
773,43.0
774,57.0
775,103.0
776,68.0
777,36.0
778,179.0
779,44.0
780,64.0
781,184.0
782,100.0
783,44.0
784,51.0
785,63.0
786,79.0
787,120.0
788,79.0
789,87.0
790,71.0
791,39.0
792,59.0
793,42.0
794,62.0
795,78.0
796,41.0
797,64.0
798,60.0
799,65.0
800,189.0
801,72.0
802,118.0
803,159.0
804,169.0
805,39.0
806,43.0
807,95.0
808,43.0
809,44.0
810,65.0
811,38.0
812,40.0
813,46.0
814,57.0
815,84.0
816,175.0
817,60.0
818,64.0
819,79.0
820,201.0
821,43.0
822,51.0
823,107.0
824,163.0
825,203.0
826,151.0
827,202.0
828,46.0
829,40.0
830,57.0
831,38.0
832,34.0
833,134.0
834,42.0
835,52.0
836,44.0
837,46.0
838,136.0
839,74.0
840,102.0
841,63.0
842,140.0
843,62.0
844,43.0
845,89.0
846,41.0
847,149.0
848,38.0
849,40.0
850,70.0
851,79.0
852,39.0
853,35.0
854,34.0
855,35.0
856,88.0
857,49.0
