Img no,sp_id,cent_X,cent_Y,width,height,area,grayavg,eccentricity
1.0,875.0,279.34726688102893,603.08038585209,19.0,17.0,311.0,38.0,0.3846888390562698
1.0,876.0,280.5028735632184,39.916666666666664,20.0,23.0,348.0,200.0,0.43418039010182125
1.0,877.0,279.72401433691755,93.57347670250896,18.0,17.0,279.0,37.0,0.38027798546670377
1.0,878.0,279.5,110.0,18.0,17.0,306.0,36.0,0.32917948466897967
1.0,879.0,279.8456140350877,178.06315789473683,18.0,18.0,285.0,38.0,0.444187157974631
1.0,880.0,282.76704545454544,323.59375,25.0,20.0,352.0,46.0,0.635725310131875
1.0,881.0,285.22727272727275,346.9890909090909,33.0,28.0,550.0,57.0,0.8079549305053136
1.0,882.0,284.078431372549,365.9673202614379,29.0,9.0,153.0,96.0,0.9606462838843376
1.0,883.0,281.01838235294116,77.80514705882354,19.0,18.0,272.0,37.0,0.35793432727732727
1.0,884.0,280.0,127.0,17.0,17.0,289.0,37.0,0.0
1.0,885.0,280.0,144.0,17.0,17.0,289.0,38.0,0.0
1.0,886.0,280.527868852459,160.97377049180326,18.0,17.0,305.0,38.0,0.330936728182123
1.0,887.0,283.02884615384613,401.3798076923077,20.0,17.0,208.0,53.0,0.8479811024998407
1.0,888.0,280.0888157894737,483.82236842105266,18.0,18.0,304.0,39.0,0.35117731050059664
1.0,889.0,280.0,501.0,17.0,17.0,289.0,35.0,0.0
1.0,890.0,280.0,518.0,17.0,17.0,289.0,36.0,0.0
1.0,891.0,280.0,535.0,17.0,17.0,289.0,36.0,0.0
1.0,892.0,280.0,552.0,17.0,17.0,289.0,36.0,0.0
1.0,893.0,280.0,569.0,17.0,17.0,289.0,37.0,0.0
1.0,894.0,280.0,586.0,17.0,17.0,289.0,37.0,0.0
1.0,895.0,280.0,620.0,17.0,17.0,289.0,37.0,0.0
1.0,896.0,280.0,637.0,17.0,17.0,289.0,38.0,0.0
1.0,897.0,280.0,654.0,17.0,17.0,289.0,38.0,0.0
1.0,898.0,280.0,671.0,17.0,17.0,289.0,38.0,0.0
1.0,899.0,280.0,688.0,17.0,17.0,289.0,37.0,0.0
1.0,900.0,280.0,705.0,17.0,17.0,289.0,37.0,0.0
1.0,901.0,280.0,722.0,17.0,17.0,289.0,41.0,0.0
1.0,902.0,280.0,739.0,17.0,17.0,289.0,37.0,0.0
1.0,903.0,280.0,756.0,17.0,17.0,289.0,37.0,0.0
1.0,904.0,280.0,773.0,17.0,17.0,289.0,38.0,0.0
1.0,905.0,280.0,790.0,17.0,17.0,289.0,38.0,0.0
1.0,906.0,280.0,807.0,17.0,17.0,289.0,36.0,0.0
1.0,907.0,280.0,824.0,17.0,17.0,289.0,36.0,0.0
1.0,908.0,280.0,841.0,17.0,17.0,289.0,37.0,0.0
1.0,909.0,280.0,858.0,17.0,17.0,289.0,37.0,0.0
1.0,910.0,280.56493506493507,875.0227272727273,19.0,17.0,308.0,34.0,0.3589007181595533
1.0,911.0,279.8303886925795,892.1166077738516,17.0,17.0,283.0,34.0,0.28728021801921394
1.0,912.0,280.1304347826087,908.572463768116,18.0,16.0,276.0,34.0,0.38638593205161814
1.0,913.0,280.0,924.0,17.0,15.0,255.0,33.0,0.4714045207910317
1.0,914.0,281.9039039039039,465.9219219219219,20.0,20.0,333.0,41.0,0.32385492654213227
1.0,915.0,283.4507337526205,222.75681341719078,22.0,37.0,477.0,125.0,0.8399524190588801
1.0,916.0,284.77777777777777,415.12794612794613,21.0,18.0,297.0,44.0,0.46270211808844547
1.0,917.0,289.3126338329765,452.5182012847966,25.0,36.0,467.0,80.0,0.821998838555344
1.0,918.0,292.0449172576832,284.97635933806146,29.0,23.0,423.0,60.0,0.5886447952944216
1.0,919.0,293.965625,23.7875,22.0,25.0,320.0,47.0,0.6761777163678837
1.0,920.0,293.85221674876846,303.2068965517241,27.0,20.0,203.0,171.0,0.6585654588899181
1.0,921.0,301.05263157894734,339.24342105263156,26.0,23.0,152.0,124.0,0.8786051727907159
1.0,922.0,296.1747572815534,55.003236245954696,20.0,23.0,309.0,41.0,0.46236624195300374
1.0,923.0,298.5869565217391,212.99068322981367,24.0,21.0,322.0,48.0,0.6608525858401889
1.0,924.0,299.4220430107527,356.2903225806452,26.0,29.0,372.0,120.0,0.32591040661171317
1.0,925.0,299.6559139784946,327.6720430107527,24.0,17.0,186.0,61.0,0.8097984483210438
1.0,926.0,298.3776758409786,425.96483180428135,21.0,66.0,654.0,117.0,0.94839368099666
1.0,927.0,299.5959885386819,7.553008595988539,23.0,18.0,349.0,41.0,0.6428510028501694
1.0,928.0,297.35897435897436,73.52564102564102,19.0,20.0,312.0,38.0,0.4278219390039482
1.0,929.0,302.0071047957371,240.47602131438722,40.0,38.0,563.0,167.0,0.7161574455779549
1.0,930.0,296.02135231316726,890.9679715302491,18.0,19.0,281.0,36.0,0.3224979417618809
1.0,931.0,297.01633986928107,92.49019607843137,17.0,19.0,306.0,38.0,0.3495231112646696
1.0,932.0,297.0,110.0,17.0,17.0,289.0,37.0,0.0
1.0,933.0,297.0,127.0,17.0,17.0,289.0,38.0,0.0
1.0,934.0,297.1796610169491,143.77627118644068,18.0,18.0,295.0,38.0,0.420419592017087
1.0,935.0,297.41065830721004,177.8808777429467,19.0,19.0,319.0,37.0,0.31763865896405846
1.0,936.0,298.8329048843188,262.46529562982005,21.0,24.0,389.0,38.0,0.504518679419588
1.0,937.0,297.611801242236,482.388198757764,19.0,20.0,322.0,42.0,0.44369256539101004
1.0,938.0,297.0,500.5,17.0,18.0,306.0,35.0,0.32917948466897967
1.0,939.0,297.0,518.0,17.0,17.0,289.0,37.0,0.0
1.0,940.0,297.0,535.0,17.0,17.0,289.0,36.0,0.0
1.0,941.0,297.0,552.0,17.0,17.0,289.0,36.0,0.0
1.0,942.0,297.0,569.0,17.0,17.0,289.0,36.0,0.0
1.0,943.0,297.0,586.0,17.0,17.0,289.0,38.0,0.0
1.0,944.0,297.0,603.0,17.0,17.0,289.0,39.0,0.0
1.0,945.0,297.0,620.0,17.0,17.0,289.0,37.0,0.0
1.0,946.0,297.0,637.0,17.0,17.0,289.0,38.0,0.0
1.0,947.0,297.0,654.0,17.0,17.0,289.0,39.0,0.0
1.0,948.0,297.0,671.0,17.0,17.0,289.0,37.0,0.0
1.0,949.0,297.0,688.0,17.0,17.0,289.0,38.0,0.0
1.0,950.0,297.0,705.0,17.0,17.0,289.0,38.0,0.0
1.0,951.0,297.0,722.0,17.0,17.0,289.0,47.0,0.0
1.0,952.0,297.0,739.0,17.0,17.0,289.0,37.0,0.0
1.0,953.0,297.0,756.0,17.0,17.0,289.0,38.0,0.0
1.0,954.0,297.0,773.0,17.0,17.0,289.0,41.0,0.0
1.0,955.0,297.0,790.0,17.0,17.0,289.0,38.0,0.0
1.0,956.0,297.0,807.0,17.0,17.0,289.0,36.0,0.0
1.0,957.0,297.0,824.0,17.0,17.0,289.0,36.0,0.0
1.0,958.0,297.0,841.0,17.0,17.0,289.0,36.0,0.0
1.0,959.0,296.82167832167835,857.9265734265734,17.0,18.0,286.0,36.0,0.344636343994587
1.0,960.0,298.2162162162162,908.0033783783783,20.0,17.0,296.0,34.0,0.5619710098313075
1.0,961.0,296.44223107569724,923.7250996015936,17.0,16.0,251.0,33.0,0.34495808044572474
1.0,962.0,299.06624605678235,160.608832807571,20.0,18.0,317.0,38.0,0.43894279464261965
1.0,963.0,307.4767676767677,196.36363636363637,44.0,20.0,495.0,88.0,0.9287355093068197
1.0,964.0,303.2603773584906,311.8188679245283,27.0,22.0,265.0,69.0,0.8179895505514901
1.0,965.0,299.5176848874598,874.3311897106109,21.0,19.0,311.0,35.0,0.46864629669541247
1.0,966.0,306.60919540229884,40.46264367816092,24.0,21.0,348.0,39.0,0.6168991613949364
1.0,967.0,311.37142857142857,293.43174603174606,35.0,27.0,315.0,117.0,0.7275303928874737
1.0,968.0,307.5980707395498,466.9774919614148,22.0,23.0,311.0,44.0,0.42620064593089113
1.0,969.0,308.9863387978142,381.3169398907104,26.0,38.0,366.0,100.0,0.9442992881234183
1.0,970.0,313.5380434782609,363.32065217391306,28.0,20.0,184.0,92.0,0.7652390296636146
1.0,971.0,313.11581920903956,228.43785310734464,22.0,24.0,354.0,55.0,0.5551748192989295
1.0,972.0,313.21026894865525,276.4474327628362,27.0,24.0,409.0,79.0,0.5660638817421593
1.0,973.0,313.6559139784946,450.43279569892474,24.0,20.0,372.0,35.0,0.5528898483788851
1.0,974.0,311.5759162303665,397.5497382198953,19.0,30.0,382.0,61.0,0.8427837142026475
1.0,975.0,312.6698113207547,23.4937106918239,18.0,22.0,318.0,39.0,0.47603284073149227
1.0,976.0,314.02147239263803,58.168711656441715,19.0,21.0,326.0,37.0,0.4992988016713501
1.0,977.0,314.62213740458014,319.03053435114504,23.0,21.0,262.0,130.0,0.3444809577347627
1.0,978.0,316.2236842105263,415.85087719298247,24.0,20.0,228.0,82.0,0.655524324775477
1.0,979.0,311.67193675889325,894.3122529644269,18.0,21.0,253.0,44.0,0.2823635906585185
1.0,980.0,314.0138888888889,76.18055555555556,18.0,17.0,288.0,38.0,0.34637902886080973
1.0,981.0,312.6332046332046,923.7220077220077,17.0,18.0,259.0,40.0,0.5099209599689335
1.0,982.0,314.0,93.0,17.0,17.0,289.0,37.0,0.0
1.0,983.0,314.06529209621993,109.90034364261169,18.0,17.0,291.0,37.0,0.26424752877114444
1.0,984.0,314.2442996742671,126.9543973941368,20.0,18.0,307.0,39.0,0.4838969473072657
1.0,985.0,315.3779761904762,145.45833333333334,21.0,20.0,336.0,44.0,0.3253356421211431
1.0,986.0,315.55417956656345,181.60990712074303,21.0,19.0,323.0,39.0,0.42517737584538456
1.0,987.0,318.7240663900415,432.52697095435684,30.0,23.0,482.0,75.0,0.7616392941867158
1.0,988.0,313.7635135135135,500.77027027027026,17.0,19.0,296.0,37.0,0.40640836403487957
1.0,989.0,314.0,518.0,17.0,17.0,289.0,36.0,0.0
1.0,990.0,314.0,535.0,17.0,17.0,289.0,37.0,0.0
1.0,991.0,314.0,552.0,17.0,17.0,289.0,36.0,0.0
1.0,992.0,314.0,569.0,17.0,17.0,289.0,37.0,0.0
1.0,993.0,314.0,586.0,17.0,17.0,289.0,37.0,0.0
1.0,994.0,314.0,603.0,17.0,17.0,289.0,38.0,0.0
1.0,995.0,314.0,620.0,17.0,17.0,289.0,38.0,0.0
1.0,996.0,314.0,637.0,17.0,17.0,289.0,38.0,0.0
1.0,997.0,314.0,654.0,17.0,17.0,289.0,39.0,0.0
1.0,998.0,314.0,671.0,17.0,17.0,289.0,37.0,0.0
1.0,999.0,314.0,688.0,17.0,17.0,289.0,38.0,0.0
1.0,1000.0,314.0,705.0,17.0,17.0,289.0,37.0,0.0
1.0,1001.0,314.0,722.0,17.0,17.0,289.0,38.0,0.0
1.0,1002.0,314.0,739.0,17.0,17.0,289.0,37.0,0.0
1.0,1003.0,314.0,756.0,17.0,17.0,289.0,37.0,0.0
1.0,1004.0,314.0,773.0,17.0,17.0,289.0,38.0,0.0
1.0,1005.0,314.0,790.0,17.0,17.0,289.0,36.0,0.0
