Img no,sp_id,cent_X,cent_Y,width,height,area,grayavg,eccentricity
0.0,1.0,20.5,20.5,42.0,42.0,1764.0,29.632653061224488,0.0
0.0,2.0,20.5,62.5,42.0,42.0,1764.0,37.993197278911566,0.0
0.0,3.0,20.5,104.5,42.0,42.0,1764.0,33.85657596371882,0.0
0.0,4.0,20.5,146.5,42.0,42.0,1764.0,30.589569160997733,0.0
0.0,5.0,20.5,188.5,42.0,42.0,1764.0,30.540816326530614,0.0
0.0,6.0,20.5,230.5,42.0,42.0,1764.0,44.57879818594105,0.0
0.0,7.0,20.5,272.5,42.0,42.0,1764.0,35.60600907029478,0.0
0.0,8.0,20.5,314.5,42.0,42.0,1764.0,32.9030612244898,0.0
0.0,9.0,20.5,356.5,42.0,42.0,1764.0,32.26020408163265,0.0
0.0,10.0,20.5,398.5,42.0,42.0,1764.0,30.642290249433106,0.0
0.0,11.0,20.5,440.5,42.0,42.0,1764.0,36.36167800453515,0.0
0.0,12.0,20.5,482.5,42.0,42.0,1764.0,27.232993197278912,0.0
0.0,13.0,20.5,524.5,42.0,42.0,1764.0,29.1734693877551,0.0
0.0,14.0,20.5,566.5,42.0,42.0,1764.0,35.84920634920635,0.0
0.0,15.0,20.5,608.5,42.0,42.0,1764.0,29.959750566893423,0.0
0.0,16.0,20.5,650.5,42.0,42.0,1764.0,35.31575963718821,0.0
0.0,17.0,20.5,692.5,42.0,42.0,1764.0,31.738095238095237,0.0
0.0,18.0,20.5,734.5,42.0,42.0,1764.0,31.575396825396826,0.0
0.0,19.0,20.5,777.0,42.0,43.0,1806.0,30.341638981173865,0.21446601361444437
0.0,20.0,20.5,820.5,42.0,44.0,1848.0,30.249458874458874,0.29814239699997197
0.0,21.0,20.5,864.5,42.0,44.0,1848.0,28.626623376623378,0.29814239699997197
0.0,22.0,20.5,909.0,42.0,45.0,1890.0,28.57037037037037,0.3590996646753662
0.0,23.0,62.5,20.5,42.0,42.0,1764.0,38.72675736961451,0.0
0.0,24.0,62.5,62.5,42.0,42.0,1764.0,31.371315192743765,0.0
0.0,25.0,62.5,104.5,42.0,42.0,1764.0,53.73979591836735,0.0
0.0,26.0,62.5,146.5,42.0,42.0,1764.0,35.051587301587304,0.0
0.0,27.0,62.5,188.5,42.0,42.0,1764.0,45.275510204081634,0.0
0.0,28.0,62.5,230.5,42.0,42.0,1764.0,48.718820861678005,0.0
0.0,29.0,62.5,272.5,42.0,42.0,1764.0,31.112244897959183,0.0
0.0,30.0,62.5,314.5,42.0,42.0,1764.0,30.226757369614514,0.0
0.0,31.0,62.5,356.5,42.0,42.0,1764.0,31.463151927437643,0.0
0.0,32.0,62.5,398.5,42.0,42.0,1764.0,33.71541950113379,0.0
0.0,33.0,62.5,440.5,42.0,42.0,1764.0,29.577097505668934,0.0
0.0,34.0,62.5,482.5,42.0,42.0,1764.0,27.93310657596372,0.0
0.0,35.0,62.5,524.5,42.0,42.0,1764.0,28.337868480725625,0.0
0.0,36.0,62.5,566.5,42.0,42.0,1764.0,31.683673469387756,0.0
0.0,37.0,62.5,608.5,42.0,42.0,1764.0,30.817460317460316,0.0
0.0,38.0,62.5,650.5,42.0,42.0,1764.0,32.543083900226755,0.0
0.0,39.0,62.5,692.5,42.0,42.0,1764.0,40.984693877551024,0.0
0.0,40.0,62.5,734.5,42.0,42.0,1764.0,31.160997732426303,0.0
0.0,41.0,62.5,777.0,42.0,43.0,1806.0,30.327242524916944,0.21446601361444437
0.0,42.0,62.5,820.0,42.0,43.0,1806.0,29.50221483942414,0.21446601361444437
0.0,43.0,62.5,863.5,42.0,44.0,1848.0,29.541666666666668,0.29814239699997197
0.0,44.0,62.5,908.5,42.0,46.0,1932.0,29.0,0.4079586499233487
0.0,45.0,104.5,20.5,42.0,42.0,1764.0,49.14965986394558,0.0
0.0,46.0,104.5,62.5,42.0,42.0,1764.0,43.324829931972786,0.0
0.0,47.0,104.5,104.5,42.0,42.0,1764.0,43.965986394557824,0.0
0.0,48.0,104.5,146.5,42.0,42.0,1764.0,42.025510204081634,0.0
0.0,49.0,104.5,188.5,42.0,42.0,1764.0,42.709750566893426,0.0
0.0,50.0,104.5,230.5,42.0,42.0,1764.0,50.22675736961451,0.0
0.0,51.0,104.5,272.5,42.0,42.0,1764.0,35.15136054421769,0.0
0.0,52.0,104.5,314.5,42.0,42.0,1764.0,34.359410430839006,0.0
0.0,53.0,104.5,356.5,42.0,42.0,1764.0,30.8718820861678,0.0
0.0,54.0,104.5,398.5,42.0,42.0,1764.0,32.355442176870746,0.0
0.0,55.0,104.5,440.5,42.0,42.0,1764.0,28.920068027210885,0.0
0.0,56.0,104.5,482.5,42.0,42.0,1764.0,28.570861678004537,0.0
0.0,57.0,104.5,524.5,42.0,42.0,1764.0,29.831632653061224,0.0
0.0,58.0,104.5,566.5,42.0,42.0,1764.0,31.151360544217688,0.0
0.0,59.0,104.5,608.5,42.0,42.0,1764.0,31.700113378684808,0.0
0.0,60.0,104.5,650.5,42.0,42.0,1764.0,31.630385487528343,0.0
0.0,61.0,104.5,692.5,42.0,42.0,1764.0,31.321428571428573,0.0
0.0,62.0,104.5,734.5,42.0,42.0,1764.0,33.32596371882086,0.0
0.0,63.0,104.5,777.0,42.0,43.0,1806.0,30.716500553709857,0.21446601361444437
0.0,64.0,104.4899837574445,820.554953979426,43.0,44.0,1847.0,30.826746074715754,0.29946073743589413
0.0,65.0,104.53538627768773,864.5526742301458,43.0,44.0,1851.0,30.484602917341977,0.2969109016885648
0.0,66.0,104.5,909.0,42.0,45.0,1890.0,29.113227513227514,0.3590996646753662
0.0,67.0,146.44376731301938,818.8459833795014,44.0,43.0,1805.0,42.40997229916898,0.22093506261148735
0.0,68.0,146.55749867514572,862.8532061473238,44.0,45.0,1887.0,29.936406995230524,0.3558153813594458
0.0,69.0,146.5,20.5,42.0,42.0,1764.0,40.14115646258504,0.0
0.0,70.0,146.5,62.5,42.0,42.0,1764.0,48.058956916099774,0.0
0.0,71.0,146.5,104.5,42.0,42.0,1764.0,37.45578231292517,0.0
0.0,72.0,146.5,146.5,42.0,42.0,1764.0,43.48696145124717,0.0
0.0,73.0,146.5,188.5,42.0,42.0,1764.0,46.17857142857143,0.0
0.0,74.0,146.5,230.5,42.0,42.0,1764.0,66.35657596371883,0.0
